Ti	X(Ti)	Y(Ti)
0,0000	0,0000	1,0000
0,0057	0,0057	1,0000
0,0113	0,0113	0,9994
0,0170	0,0170	0,9981
0,0227	0,0227	0,9962
0,0284	0,0283	0,9937
0,0340	0,0340	0,9905
0,0397	0,0396	0,9868
0,0454	0,0452	0,9823
0,0511	0,0508	0,9773
0,0567	0,0563	0,9717
0,0624	0,0618	0,9654
0,0681	0,0673	0,9585
0,0738	0,0727	0,9510
0,0794	0,0781	0,9429
0,0851	0,0835	0,9343
0,0908	0,0888	0,9250
0,0965	0,0940	0,9151
0,1021	0,0992	0,9046
0,1078	0,1044	0,8936
0,1135	0,1094	0,8820
0,1192	0,1144	0,8699
0,1248	0,1194	0,8572
0,1305	0,1242	0,8439
0,1362	0,1290	0,8301
0,1418	0,1337	0,8158
0,1475	0,1384	0,8009
0,1532	0,1429	0,7856
0,1589	0,1474	0,7697
0,1645	0,1517	0,7534
0,1702	0,1560	0,7366
0,1759	0,1602	0,7193
0,1816	0,1643	0,7015
0,1872	0,1682	0,6833
0,1929	0,1721	0,6647
0,1986	0,1759	0,6456
0,2043	0,1796	0,6261
0,2099	0,1831	0,6062
0,2156	0,1866	0,5860
0,2213	0,1899	0,5653
0,2270	0,1931	0,5443
0,2326	0,1962	0,5229
0,2383	0,1991	0,5012
0,2440	0,2020	0,4792
0,2497	0,2047	0,4569
0,2553	0,2073	0,4343
0,2610	0,2098	0,4113
0,2667	0,2121	0,3882
0,2724	0,2143	0,3647
0,2780	0,2164	0,3411
0,2837	0,2183	0,3172
0,2894	0,2201	0,2930
0,2950	0,2218	0,2687
0,3007	0,2233	0,2443
0,3064	0,2247	0,2196
0,3121	0,2259	0,1948
0,3177	0,2270	0,1699
0,3234	0,2280	0,1448
0,3291	0,2288	0,1196
0,3348	0,2295	0,0944
0,3404	0,2300	0,0691
0,3461	0,2304	0,0437
0,3518	0,2307	0,0183
0,3575	0,2308	-0,0072
0,3631	0,2307	-0,0326
0,3688	0,2305	-0,0581
0,3745	0,2302	-0,0835
0,3802	0,2297	-0,1089
0,3858	0,2291	-0,1343
0,3915	0,2284	-0,1596
0,3972	0,2275	-0,1848
0,4029	0,2264	-0,2099
0,4085	0,2252	-0,2349
0,4142	0,2239	-0,2597
0,4199	0,2224	-0,2844
0,4256	0,2208	-0,3090
0,4312	0,2190	-0,3334
0,4369	0,2171	-0,3576
0,4426	0,2151	-0,3816
0,4482	0,2130	-0,4053
0,4539	0,2107	-0,4288
0,4596	0,2082	-0,4521
0,4653	0,2057	-0,4751
0,4709	0,2030	-0,4979
0,4766	0,2001	-0,5203
0,4823	0,1972	-0,5424
0,4880	0,1941	-0,5643
0,4936	0,1909	-0,5857
0,4993	0,1876	-0,6068
0,5050	0,1841	-0,6276
0,5107	0,1806	-0,6480
0,5163	0,1769	-0,6680
0,5220	0,1731	-0,6876
0,5277	0,1692	-0,7067
0,5334	0,1652	-0,7255
0,5390	0,1611	-0,7438
0,5447	0,1569	-0,7617
0,5504	0,1525	-0,7790
0,5561	0,1481	-0,7960
0,5617	0,1436	-0,8124
0,5674	0,1390	-0,8283
0,5731	0,1343	-0,8437
0,5787	0,1295	-0,8586
0,5844	0,1246	-0,8730
0,5901	0,1197	-0,8869
0,5958	0,1146	-0,9002
0,6014	0,1095	-0,9129
0,6071	0,1044	-0,9251
0,6128	0,0991	-0,9367
0,6185	0,0938	-0,9477
0,6241	0,0884	-0,9581
0,6298	0,0830	-0,9679
0,6355	0,0775	-0,9772
0,6412	0,0719	-0,9858
0,6468	0,0664	-0,9938
0,6525	0,0607	-1,0012
0,6582	0,0550	-1,0079
0,6639	0,0493	-1,0140
0,6695	0,0436	-1,0195
0,6752	0,0378	-1,0244
0,6809	0,0320	-1,0286
